nodes,area_width_m,area_height_m,channel_model,ai_compute_scale,baseline,paired_runs,energy_mj_full_mean,energy_mj_baseline_mean,energy_mj_diff_mean,energy_mj_diff_ci95_low,energy_mj_diff_ci95_high,energy_mj_wilcoxon_p,f1_full_mean,f1_baseline_mean,f1_diff_mean,f1_diff_ci95_low,f1_diff_ci95_high,f1_wilcoxon_p,dcr_full_mean,dcr_baseline_mean,dcr_diff_mean,dcr_diff_ci95_low,dcr_diff_ci95_high,dcr_wilcoxon_p,tx_packets_full_mean,tx_packets_baseline_mean,tx_packets_diff_mean,tx_packets_diff_ci95_low,tx_packets_diff_ci95_high,tx_packets_wilcoxon_p,collisions_full_mean,collisions_baseline_mean,collisions_diff_mean,collisions_diff_ci95_low,collisions_diff_ci95_high,collisions_wilcoxon_p
20,100,100,rician,0.1,distributed_edge,10,140.34602999999998,286.46306,-146.11703,-151.7099932371656,-140.5240667628344,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.25,periodic,10,172.29514,403.88,-231.58486,-235.72006868107934,-227.44965131892064,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,0.25,event_driven,10,172.29514,277.16306,-104.86792,-110.57139939240363,-99.16444060759636,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.25,distributed_edge,10,172.29514,300.41306,-128.11792,-133.82139939240363,-122.41444060759636,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.5,periodic,10,225.54363,403.88,-178.33637,-182.9525043491917,-173.72023565080826,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,0.5,event_driven,10,225.54363,277.16306,-51.619429999999994,-57.53401875849326,-45.70484124150673,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.5,distributed_edge,10,225.54363,323.66306,-98.11943,-104.03401875849326,-92.20484124150673,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.75,periodic,10,278.79214,403.88,-125.08786,-130.18516808798887,-119.99055191201114,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,600.0,-560.1,-561.5739871852301,-558.62601281477,0.001953125,362.3,10754.3,-10392.0,-10409.906578307055,-10374.093421692945,0.001953125
20,100,100,rician,0.75,event_driven,10,278.79214,277.16306,1.6290799999999934,-4.52723023842948,7.785390238429466,0.4921875,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
20,100,100,rician,0.75,distributed_edge,10,278.79214,346.91306,-68.12092000000001,-74.27723023842948,-61.96460976157054,0.001953125,1.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,1.0,39.9,340.7,-300.8,-309.9690393050623,-291.6309606949377,0.001953125,362.3,5950.1,-5587.8,-5754.108640390223,-5421.491359609778,0.001953125
