policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,tx_power_dbm,infer_energy_mj,neighbor_radius_m,run,seed
dstep,50,105,520,5040,593.7,77.5,31.0,77.5,52.5,165.6,51.75,36.75,93.6,7.5,1.0,1.0,1.0,0.96,-0.8754,12,0.9046,-0.8532,0.8532,39.6591,6.7716,1.3154,1595,130,520,0,0.05,50.0,0,51234
event_driven,50,838,1058,40224,599.74,77.5,31.0,0.0,0.0,0.0,0.0,293.3,190.44,7.5,1.0,1.0,1.0,1.0,-0.2794,9,,-0.2794,0.2794,,,,5013,72,0,0,0.15,25.0,0,51234
dstep,50,92,250,4416,667.095,77.5,31.0,232.5,52.5,143.92,44.975,32.2,45.0,7.5,1.0,0.98,0.9899,0.98,-0.1954,8,0.9706,0.1771,-0.1771,40.4341,4.92,1.0252,411,25,250,0,0.15,25.0,0,51234
event_driven,50,873,1181,41904,634.13,77.5,31.0,0.0,0.0,0.0,0.0,305.55,212.58,7.5,1.0,1.0,1.0,1.0,-0.5194,15,,-0.5194,0.5194,,,,11209,155,0,0,0.15,38.0,0,51234
dstep,50,101,391,4848,710.535,77.5,31.0,232.5,52.5,155.28,48.525,35.35,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,0,0.15,38.0,0,51234
event_driven,50,845,1237,40560,634.41,77.5,31.0,0.0,0.0,0.0,0.0,295.75,222.66,7.5,1.0,1.0,1.0,1.0,-0.7794,13,,-0.7794,0.7794,,,,16930,232,0,0,0.15,50.0,0,51234
dstep,50,105,520,5040,748.7,77.5,31.0,232.5,52.5,165.6,51.75,36.75,93.6,7.5,1.0,1.0,1.0,0.96,-0.8754,12,0.9046,-0.8532,0.8532,39.6591,6.7716,1.3154,1595,130,520,0,0.15,50.0,0,51234
event_driven,50,838,1058,40224,599.74,77.5,31.0,0.0,0.0,0.0,0.0,293.3,190.44,7.5,1.0,1.0,1.0,1.0,-0.2794,9,,-0.2794,0.2794,,,,5013,72,0,0,0.3,25.0,0,51234
dstep,50,92,250,4416,899.595,77.5,31.0,465.0,52.5,143.92,44.975,32.2,45.0,7.5,1.0,0.98,0.9899,0.98,-0.1954,8,0.9706,0.1771,-0.1771,40.4341,4.92,1.0252,411,25,250,0,0.3,25.0,0,51234
event_driven,50,873,1181,41904,634.13,77.5,31.0,0.0,0.0,0.0,0.0,305.55,212.58,7.5,1.0,1.0,1.0,1.0,-0.5194,15,,-0.5194,0.5194,,,,11209,155,0,0,0.3,38.0,0,51234
dstep,50,101,391,4848,943.035,77.5,31.0,465.0,52.5,155.28,48.525,35.35,70.38,7.5,1.0,1.0,1.0,1.0,-0.6554,10,0.3846,-0.9735,0.9735,42.6946,4.7773,1.3773,1003,65,391,0,0.3,38.0,0,51234
event_driven,50,845,1237,40560,634.41,77.5,31.0,0.0,0.0,0.0,0.0,295.75,222.66,7.5,1.0,1.0,1.0,1.0,-0.7794,13,,-0.7794,0.7794,,,,16930,232,0,0,0.3,50.0,0,51234
dstep,50,105,520,5040,981.2,77.5,31.0,465.0,52.5,165.6,51.75,36.75,93.6,7.5,1.0,1.0,1.0,0.96,-0.8754,12,0.9046,-0.8532,0.8532,39.6591,6.7716,1.3154,1595,130,520,0,0.3,50.0,0,51234
event_driven,50,855,1060,41040,606.05,77.5,31.0,0.0,0.0,0.0,0.0,299.25,190.8,7.5,1.0,1.0,1.0,1.0,-0.1794,9,,-0.1794,0.1794,,,,5156,16,0,10,0.05,25.0,0,51234
dstep,50,95,257,4560,514.93,77.5,31.0,77.5,52.5,144.32,45.1,33.25,46.26,7.5,1.0,0.94,0.9691,0.96,-0.2954,11,1.0469,0.8081,-0.8081,40.4387,3.553,1.1076,453,3,257,10,0.05,25.0,0,51234
event_driven,50,861,1180,41328,629.75,77.5,31.0,0.0,0.0,0.0,0.0,301.35,212.4,7.5,1.0,1.0,1.0,1.0,-0.2994,13,,-0.2994,0.2994,,,,11238,25,0,10,0.05,38.0,0,51234
dstep,50,107,443,5136,572.455,77.5,31.0,77.5,52.5,159.44,49.825,37.45,79.74,7.5,1.0,1.0,1.0,1.0,-0.7354,15,0.2446,-0.0945,0.0945,41.5256,6.257,0.9636,1079,14,443,10,0.05,38.0,0,51234
