policy,nodes,tx_packets,rx_packets,bytes_tx,energy_mj,energy_sense_mj,energy_preprocess_mj,energy_infer_mj,energy_consensus_mj,energy_estimate_mj,energy_prediction_mj,energy_tx_mj,energy_rx_mj,energy_idle_mj,precision,recall,f1,dcr,mean_detection_delay_s,pre_event_local_detections,mean_confirmation_delay_s,mean_alert_delay_s,mean_lead_time_s,mean_origin_error_m,mean_speed_error_m_s,mean_eta_error_s,collisions,channel_losses,suppressed_tx,run,seed
distributed_edge,100,1713,2471,82224,1741.33,155.0,62.0,465.0,0.0,0.0,0.0,599.55,444.78,15.0,1.0,1.0,1.0,1.0,-0.7153,26,,-0.7153,0.7153,,,,44917,347,0,0,101234
distributed_edge,100,1678,2352,80544,1707.66,155.0,62.0,465.0,0.0,0.0,0.0,587.3,423.36,15.0,1.0,1.0,1.0,1.0,-0.1278,20,,-0.1278,0.1278,,,,50871,336,0,1,101235
distributed_edge,100,1685,2433,80880,1724.69,155.0,62.0,465.0,0.0,0.0,0.0,589.75,437.94,15.0,1.0,1.0,1.0,1.0,-0.2759,21,,-0.2759,0.2759,,,,48956,369,0,2,101236
distributed_edge,100,1746,2474,83808,1753.42,155.0,62.0,465.0,0.0,0.0,0.0,611.1,445.32,15.0,1.0,1.0,1.0,1.0,-0.4651,21,,-0.4651,0.4651,,,,52615,340,0,3,101237
distributed_edge,100,1717,2486,82416,1745.43,155.0,62.0,465.0,0.0,0.0,0.0,600.95,447.48,15.0,1.0,1.0,1.0,0.99,-0.7051,24,,-0.7051,0.7051,,,,48355,390,0,4,101238
dstep,100,205,960,9840,1472.85,155.0,62.0,465.0,105.0,324.8,101.5,71.75,172.8,15.0,1.0,1.0,1.0,1.0,-0.8753,35,0.2847,-1.793,1.793,43.4151,5.8449,1.3122,4542,130,960,0,101234
dstep,100,205,926,9840,1463.16,155.0,62.0,465.0,105.0,322.08,100.65,71.75,166.68,15.0,1.0,1.0,1.0,1.0,-0.0278,15,0.8222,-0.4856,0.4856,45.3703,5.8478,0.9687,5543,131,926,1,101235
dstep,100,200,930,9600,1462.55,155.0,62.0,465.0,105.0,322.4,100.75,70.0,167.4,15.0,1.0,1.0,1.0,1.0,-0.2659,23,0.3141,-3.4727,3.4727,41.3653,7.5905,0.8373,5013,138,930,2,101236
dstep,100,200,876,9600,1447.16,155.0,62.0,465.0,105.0,318.08,99.4,70.0,157.68,15.0,1.0,1.0,1.0,1.0,-0.4951,23,0.6449,-1.3126,1.3126,39.5717,4.5848,0.7811,5126,108,876,3,101237
dstep,100,201,1014,9648,1486.84,155.0,62.0,465.0,105.0,329.12,102.85,70.35,182.52,15.0,1.0,1.0,1.0,1.0,-0.6251,27,0.4749,-1.1329,1.1329,40.6199,4.9435,1.0999,4758,130,1014,4,101238
